1582033231043|3|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT `installed_rank`,`version`,`description`,`type`,`script`,`checksum`,`installed_on`,`installed_by`,`execution_time`,`success` FROM `flyway_schema_history` WHERE `installed_rank` > ? ORDER BY `installed_rank`|SELECT `installed_rank`,`version`,`description`,`type`,`script`,`checksum`,`installed_on`,`installed_by`,`execution_time`,`success` FROM `flyway_schema_history` WHERE `installed_rank` > 1 ORDER BY `installed_rank`
1582033231045|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT RELEASE_LOCK('Flyway--1817920359')|SELECT RELEASE_LOCK('Flyway--1817920359')
1582033231046|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL
1582033231048|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SET foreign_key_checks=?, sql_safe_updates=?|SET foreign_key_checks=1, sql_safe_updates=0
1582033231050|0|commit|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai||
1582033231961|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|/* ping */ SELECT 1|/* ping */ SELECT 1
1582033246402|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT COUNT(1) FROM sy_user su WHERE 1 = 1|SELECT COUNT(1) FROM sy_user su WHERE 1 = 1
1582033246417|6|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|select su.id, su.username, su.password, su.email, su.create_at,         su.mobile, su.login_at, su.login_ip, su.operator_id, su.operator_ip,         su.remark, su.operator_at,su.enable, su.expire_at, su.locked, su.nickname, su.avatar         from sy_user su         left join sy_group_user_rel sgur on su.id = sgur.user_id          WHERE 1=1 LIMIT ?,?|select su.id, su.username, su.password, su.email, su.create_at,         su.mobile, su.login_at, su.login_ip, su.operator_id, su.operator_ip,         su.remark, su.operator_at,su.enable, su.expire_at, su.locked, su.nickname, su.avatar         from sy_user su         left join sy_group_user_rel sgur on su.id = sgur.user_id          WHERE 1=1 LIMIT 0,10
1582033257257|4|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT COUNT(1) FROM sy_user su WHERE 1 = 1|SELECT COUNT(1) FROM sy_user su WHERE 1 = 1
1582033257268|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|select su.id, su.username, su.password, su.email, su.create_at,         su.mobile, su.login_at, su.login_ip, su.operator_id, su.operator_ip,         su.remark, su.operator_at,su.enable, su.expire_at, su.locked, su.nickname, su.avatar         from sy_user su         left join sy_group_user_rel sgur on su.id = sgur.user_id          WHERE 1=1 LIMIT ?,?|select su.id, su.username, su.password, su.email, su.create_at,         su.mobile, su.login_at, su.login_ip, su.operator_id, su.operator_ip,         su.remark, su.operator_at,su.enable, su.expire_at, su.locked, su.nickname, su.avatar         from sy_user su         left join sy_group_user_rel sgur on su.id = sgur.user_id          WHERE 1=1 LIMIT 0,10
1582033257327|8|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT COUNT(1) FROM sy_user_group|SELECT COUNT(1) FROM sy_user_group
1582033257331|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT  id,name,create_at,operator_id,operator_at,operator_ip,remark,seq  FROM sy_user_group           ORDER BY seq DESC LIMIT ?,?|SELECT  id,name,create_at,operator_id,operator_at,operator_ip,remark,seq  FROM sy_user_group           ORDER BY seq DESC LIMIT 0,500
1582033269228|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT COUNT(1) FROM sy_user_group|SELECT COUNT(1) FROM sy_user_group
1582033269232|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/haircut?useUnicode=yes&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai|SELECT  id,name,create_at,operator_id,operator_at,operator_ip,remark,seq  FROM sy_user_group           ORDER BY seq DESC LIMIT ?,?|SELECT  id,name,create_at,operator_id,operator_at,operator_ip,remark,seq  FROM sy_user_group           ORDER BY seq DESC LIMIT 0,10
